Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
22,Merge pull request #108 from atom/use-theme-collaboration-less-variables,0.49849507,Invite coworkers or friends to collaborate by sending them your portal URL. Collaborators can follow that link to join your portal and start coding together with you in real time. 👩‍💻:atom:🔗:atom:👨‍💻,⬆️ @atom/teletype-server@0.18.2,0
23,🐛 Gracefully handle attempt to update tether for destroyed editor,0.53752816,Properly dispose of portals when deactivating the package (#279),,0
24,Implement HostPortalBinding.updateActivePositions,0.5912534,Update guest workspaces when host renames a shared file (https://github.com/atom/teletype/issues/147),Include package-lock.json,0
25,Merge pull request #317 from atom/improve-diagnostics-for-http-request-errors,0.46673113,Offer to reload the package when initialization fails due to network connectivity issues (#287),,0
26,Prepare 0.5.0 release,0.5203547,Also in this release:,,0
27,Add styles for status bar indicator,0.36219865,Improve positioning of collaborator avatars for workspaces with multiple panes (#283),Fixes https://github.com/atom/teletype/issues/382,0
28,WIP: Use flexbox for host portal rendering in popover,0.50492215,Improve positioning of collaborator avatars for workspaces with multiple panes (#283),,0
29,Add support for getChangesSinceCheckpoint API,0.4238452,Provide quick access to Atom's package updates UI when prompting user to update Teletype due to a protocol change (#271),,0
30,Merge pull request #471 from atom/dependabot/npm_and_yarn/lodash-4.17.15,0.47739172,Update Teletype for compatibility with the upcoming release of Atom 1.25 (#301),Closes #368,0
31,Move site active positions logic into SitePositionsController,0.41613328,Improve positioning of collaborator avatars for workspaces with multiple panes (#283),,0
32,Add mockups,0.39605138,"With Teletype 0.10.0, you'll now enjoy a streamlined view of your collaborators' avatars inside the editor. (https://github.com/atom/teletype/pull/332)",,0
33,Fix https://github.com/atom/real-time/issues/105,0.42979795,Fix bug that would occasionally cause participants to see incorrectly-positioned cursors for other participants (https://github.com/atom/teletype/pull/326),,0
34,Merge branch 'master' into better-site-position-avatars,0.53753555,Improve positioning of collaborator avatars for workspaces with multiple panes (#283),Add RFC for streamlining collaboration set-up,0
35,Rename database on Travis to match expectations,0.32497078,Update guest workspaces when host renames a shared file (https://github.com/atom/teletype/issues/147),/xref https://github.com/atom/teletype/pull/344#discussion_r182509071,0
36,👕 Apply results of running standard --fix,0.54457426,"Improve experience and help users report diagnostics for debugging package initialization errors (#317, #309)",Add border around avatar to identify their cursor color,0
37,Improve display of remote file path shown to guests,0.46767738,Update guest workspaces when host renames a shared file (https://github.com/atom/teletype/issues/147),,0
38,Don't relay selections that are destroyed when creation event is emitted,0.29173806,"With Teletype 0.4.0, collaborators can now save buffers on the host. (#270) 💾📡🌟",,0
39,Destroy site positions controller when disposing HostPortalBinding,0.524668,"Clean up guest's workspace when host closes portal (i.e., automatically close the tabs that were associated with the portal) (https://github.com/atom/teletype/pull/319)",,0
40,Let users sign in via SignInComponent in the popover,0.5149348,Improve UX of the sign-in form (#248),,0
41,Fix ability to hit 'enter' to confirm joining portal in dialog,0.48135614,Prevent unnecessary console error when sharing a portal (#311),,0
42,Prepare 0.2.1 release,0.5427803,Also in this release:,To make it look better with a site border,0
43,Rename close to leave in GuestPortalBinding,0.58630514,Update guest workspaces when host renames a shared file (https://github.com/atom/teletype/issues/147),"Whenever Teletype is displaying a cursor for a remote participant, enhance the SitePositionsComponent to show a corresponding border around that site's avatar, with the border color matching the site's cursor color.",0
44,Use last successful build on Atom master to run tests on Travis,0.39677942,Update Teletype for compatibility with the upcoming release of Atom 1.25 (#301),,0
45,:memo: Propose portal URL format,0.48264343,"URLs are pretty great. And now your portals have URLs, too.",Refs: https://github.com/atom/teletype/commit/9d864c925cdb1370baa762b81d9ac6cac2b36c25,0
46,:arrow_up: teletype-client@0.38.2,0.5540159,Provide quick access to Atom's package updates UI when prompting user to update Teletype due to a protocol change (#271),,0
47,Delete unused method,0.46761903,Properly dispose of portals when deactivating the package (#279),The mockups now depict the location of the collaborator lists. /xref https://github.com/atom/teletype/pull/344#pullrequestreview-112376121,0
48,:art: Refactor site colors,0.34520543,"All avatars now appear in the bottom right corner. Additionally, you'll now see a collaborator's avatar even when they switch their focus to something outside the portal. For example, if a guest starts editing a file that's not associated with the portal, you'll continue to see the guest's avatar, but it will have a reduced opacity to indicate reduced portal activity from that guest.",,0
49,Removed extra check against portal id.,0.6108769,Properly dispose of portals when deactivating the package (#279),,0
50,Make compatible with real-time-client API changes,0.5034583,"With Teletype 0.3.0, you can now share and edit multiple files simultaneously during your real-time coding sessions. (#262)",,0
51,Disable mouse on the icon,0.4308463,Fix bug that would occasionally cause participants to see incorrectly-positioned cursors for other participants (https://github.com/atom/teletype/pull/326),,0
52,Don't relay empty changes to SharedBuffer,0.50098145,"With Teletype 0.4.0, collaborators can now save buffers on the host. (#270) 💾📡🌟",,0
53,Merge pull request #331 from himankpathak/master,0.45064324,Prevent unnecessary console error when sharing a portal (#311),"Capture the ""change permission"" alternative that @simurai described in https://github.com/atom/teletype/pull/344#issuecomment-379157889.",0
54,Show basic dialog if promptWhenJoiningPortalViaExternalApp is true,0.34307855,Provide quick access to Atom's package updates UI when prompting user to update Teletype due to a protocol change (#271),"Update RFC to resolve the following drawback:  Imagine you code together every day with a particular coworker. When you add them as a trusted collaborator, and you invite them to join your portal, and they don't join right away, you can't tell if it's because they're not online, or if they declined your invitation, or if they didn't see your invitation, or if they don't have you listed as a trusted collaborator. If you were expecting them to join your portal, you have to reach out to them via some other communication medium to find out why they haven't joined.  When you opt-in to adding someone as a trusted collaborator, Teletype will inform you that the person will be able to see whether you're online and will be able to send you in-Atom portal invitations. Because you're opting to mark them as a trusted collaborator, Teletype will also inform them when if you decline an invitation.",0
55,Merge pull request #166 from atom/show-link-next-to-explicitly-followed-person,0.47926727,Invite coworkers or friends to collaborate by sending them your portal URL. Collaborators can follow that link to join your portal and start coding together with you in real time. 👩‍💻:atom:🔗:atom:👨‍💻,,0
56,Adjust spacing and sizes,0.4257611,Improve positioning of collaborator avatars for workspaces with multiple panes (#283),,0
57,Merge pull request #341 from CaptainJohnyAppleSeed/patch-1,0.5249176,Prevent unnecessary console error when sharing a portal (#311),,0
58,Merge pull request #82 from atom/fix-saving-remote-buffers,0.46186817,Provide quick access to Atom's package updates UI when prompting user to update Teletype due to a protocol change (#271),,0
59,Remove test noise re: MaxListenersExceededWarning,0.44277552,"Improve experience and help users report diagnostics for debugging package initialization errors (#317, #309)",Fixes #360,0
60,Make heartbeat test less time-sensitive,0.21590999,Provide quick access to Atom's package updates UI when prompting user to update Teletype due to a protocol change (#271),Fix clicking on lines next to the avatars,0
61,Show colored border around each site avatar matching site's cursor color,0.57459617,"All avatars now appear in the bottom right corner. Additionally, you'll now see a collaborator's avatar even when they switch their focus to something outside the portal. For example, if a guest starts editing a file that's not associated with the portal, you'll continue to see the guest's avatar, but it will have a reduced opacity to indicate reduced portal activity from that guest.",,0
62,Disable join button if portal ID is invalid.,0.5525545,Prevent unnecessary console error when sharing a portal (#311),,0
63,":shirt: Fix ""'element' is not defined""",0.35150933,Fix bug that would occasionally cause participants to see incorrectly-positioned cursors for other participants (https://github.com/atom/teletype/pull/326),Co-authored-by: Antonio Scandurra as-cii@github.com,0
64,Inform the editor proxy of scrolls and test tether disconnect/reconnect,0.44787994,"With Teletype 0.4.0, collaborators can now save buffers on the host. (#270) 💾📡🌟",Fixes #357 Co-authored-by: Antonio Scandurra as-cii@github.com,0
65,Verify tabs are switched sequentially when active editor proxy changes,0.36213252,Update guest workspaces when host renames a shared file (https://github.com/atom/teletype/issues/147),Return empty list of editors if PortalBinderManager is unavailable,0
66,Merge pull request #31 from atom/p2p,0.46479258,Update Teletype for compatibility with the upcoming release of Atom 1.25 (#301),Refs: https://github.com/atom/fuzzy-finder/pull/343,0
67,Update installation and development instructions,0.56642383,"Improve experience and help users report diagnostics for debugging package initialization errors (#317, #309)",Update Workflow,0
68,Update site positions correctly when manually switching tabs,0.4421537,Improve positioning of collaborator avatars for workspaces with multiple panes (#283),,0
69,Mention satellite repositories,0.3721866,Allow guests to use fuzzy-finder to open any remote editor shared by the host. Please note that this currently requires using an Atom dev build. Full support for this functionality will ship in a future beta version of Atom. (https://github.com/atom/teletype/pull/323),,0
70,:memo: Flesh out first draft of drawbacks section,0.43821466,"With Teletype 0.10.0, you'll now enjoy a streamlined view of your collaborators' avatars inside the editor. (https://github.com/atom/teletype/pull/332)",,0
71,Add spacing between avatars and the corners of the editor,0.69250464,"All avatars now appear in the bottom right corner. Additionally, you'll now see a collaborator's avatar even when they switch their focus to something outside the portal. For example, if a guest starts editing a file that's not associated with the portal, you'll continue to see the guest's avatar, but it will have a reduced opacity to indicate reduced portal activity from that guest.",Reflect updated workflow in atom/teletype-client#57 and atom/teletype#353 Refs: atom/teletype#352,0
72,Clarify what happens when host closes a buffer,0.5118938,"With Teletype 0.4.0, collaborators can now save buffers on the host. (#270) 💾📡🌟",[Code Submission] RFC-002: Sync Buffer Path Changes from Host To Guest,0
73,Request save to BufferProxy when guest attempts to save a remote Buffer,0.50753903,"With Teletype 0.4.0, collaborators can now save buffers on the host. (#270) 💾📡🌟",,0
74,Propose explicit opt-in for portal invitations from a collaborator,0.5489248,Invite coworkers or friends to collaborate by sending them your portal URL. Collaborators can follow that link to join your portal and start coding together with you in real time. 👩‍💻:atom:🔗:atom:👨‍💻,,0
75,Remove limit on number of site position avatars displayed,0.56509143,"All avatars now appear in the bottom right corner. Additionally, you'll now see a collaborator's avatar even when they switch their focus to something outside the portal. For example, if a guest starts editing a file that's not associated with the portal, you'll continue to see the guest's avatar, but it will have a reduced opacity to indicate reduced portal activity from that guest.",,0
76,Workaround panel auto-focus bug when adding modals as visible,0.50464034,Improve positioning of collaborator avatars for workspaces with multiple panes (#283),Co-authored-by: Antonio Scandurra as-cii@github.com,0
77,Use atom-tachyon-p2p as the default API endpoint,0.50990653,Provide quick access to Atom's package updates UI when prompting user to update Teletype due to a protocol change (#271),Co-authored-by: Antonio Scandurra as-cii@github.com,0
78,":shirt: Fix ""'element' is assigned a value but never used""",0.31198794,Fix bug that would occasionally cause participants to see incorrectly-positioned cursors for other participants (https://github.com/atom/teletype/pull/326),Co-authored-by: Antonio Scandurra as-cii@github.com,0
79,Add some borders and revert width change,0.38653982,Improve positioning of collaborator avatars for workspaces with multiple panes (#283),Co-authored-by: Antonio Scandurra as-cii@github.com,0
80,👕🔥 Remove unused method,0.434097,Properly dispose of portals when deactivating the package (#279),Co-authored-by: Antonio Scandurra as-cii@github.com,0
81,Merge pull request #112 from atom/donokuda-login-popup-tweaks,0.45540547,Provide quick access to Atom's package updates UI when prompting user to update Teletype due to a protocol change (#271),Co-authored-by: Antonio Scandurra as-cii@github.com,0
82,✅ Test status bar behavior for both ways of leaving a portal,0.50789297,Prevent unnecessary console error when sharing a portal (#311),Co-authored-by: Antonio Scandurra as-cii@github.com,0
83,":shirt: Suppress ""'ErrorEvent' is not defined"" violation",0.3662571,Fix bug that would occasionally cause participants to see incorrectly-positioned cursors for other participants (https://github.com/atom/teletype/pull/326),Co-authored-by: Antonio Scandurra as-cii@github.com,0
84,Ensure editor component is created before waiting for update promise,0.40843022,Provide quick access to Atom's package updates UI when prompting user to update Teletype due to a protocol change (#271),Co-authored-by: Antonio Scandurra as-cii@github.com,0
85,Merge pull request #34 from atom/add-gui-install-instructions,0.5106137,Update Teletype for compatibility with the upcoming release of Atom 1.25 (#301),,0
86,Merge pull request #17 from atom/jr-close-portal,0.53794134,Prevent unnecessary console error when sharing a portal (#311),Co-authored-by: Antonio Scandurra as-cii@github.com,0
87,Add lint script: npm run lint,0.34353158,Update guest workspaces when host renames a shared file (https://github.com/atom/teletype/issues/147),Co-authored-by: Antonio Scandurra as-cii@github.com,0
88,Delete unnecessary method,0.49377024,Properly dispose of portals when deactivating the package (#279),,0
89,Enhance EmptyPortalPaneItem to show host's username,0.5216127,Update guest workspaces when host renames a shared file (https://github.com/atom/teletype/issues/147),Error in merging differences.,0
90,Clear tail of remote markers if becoming empty after a text change,0.2834873,Fix bug that would occasionally cause participants to see incorrectly-positioned cursors for other participants (https://github.com/atom/teletype/pull/326),,0
91,Finish draft,0.28650853,Properly dispose of portals when deactivating the package (#279),,0
92,Show link icon next to the person you are explicitly following,0.40156332,"Teletype 0.13.0 makes it easier to know which cursor belongs to which collaborator. When displaying a collaborator's cursor, Teletype now shows the collaborator's cursor color next to their avatar. (#365)","This change proposes an approach that attempts to deliver the desired product benefits (i.e., easier ability to quickly collaborate with coworkers and friends) while also addressing the review feedback from the Community and Safety team:  https://github.com/atom/teletype/pull/344#pullrequestreview-105405268 https://github.com/atom/teletype/pull/344#pullrequestreview-105517554",0
93,Prevent empty portal pane item from being serialized or copied,0.52032816,Properly dispose of portals when deactivating the package (#279),,0
94,Fix last failing tests,0.46172148,"Improve experience and help users report diagnostics for debugging package initialization errors (#317, #309)","All of the review discussion in #344 is focused on the behavior of the ""buddy list"", and that portion of the RFC needs more refinement before we move forward. The rest of the existing RFC involves replacing the existing use of portal IDs with more user-friendly portal URLs. Support for portal URLs shipped today in Teletype 0.11. With that in mind, this commit splits the existing RFC into two separate RFCs:  RFC-003 covers the introduction of portal URLs, and that RFC has a status of ""Implemented"" RFC-004 contains the original ""buddy list"" proposal. That RFC still has a status of ""Proposed"". Future commits will update that proposal to incorporate the review feedback provided in #344.",0
95,Merge pull request #120 from atom/no-redundant-add-events,0.42026648,Provide quick access to Atom's package updates UI when prompting user to update Teletype due to a protocol change (#271),,0
96,Prepare 0.8.0 release,0.53856534,Also in this release:,,0
97,":shirt: Fix ""'host1Portal' is assigned a value but never used""",0.5378303,Update guest workspaces when host renames a shared file (https://github.com/atom/teletype/issues/147),,0
98,Close/leave portals when deactivating TeletypePackage,0.73020333,Properly dispose of portals when deactivating the package (#279),Join portal via URL (Part 3 of 3),1
99,🎨😇,0.38871396,Improve UX of the sign-in form (#248),,0
100,Add preliminary support for sharing & joining a portal,0.61094165,Prevent unnecessary console error when sharing a portal (#311),"Sibling of ""Make the logo bigger"". ;)",0
101,:fire: Remove mockups.html,0.4570689,Properly dispose of portals when deactivating the package (#279),,0
102,Store buffer bindings by buffer proxy id in GuestPortalBinding,0.50454366,"With Teletype 0.4.0, collaborators can now save buffers on the host. (#270) 💾📡🌟",,0
103,Don't run npm install in .travis.yml,0.3041587,Properly dispose of portals when deactivating the package (#279),,0
104,Implement GithubAuthTokenProvider.forgetToken,0.45731384,Provide quick access to Atom's package updates UI when prompting user to update Teletype due to a protocol change (#271),,0
105,"WIP: Style the ""guest add"" button",0.53304553,Update guest workspaces when host renames a shared file (https://github.com/atom/teletype/issues/147),,0
106,:art: Clarify difference between close and leave methods,0.25000685,"With Teletype 0.10.0, you'll now enjoy a streamlined view of your collaborators' avatars inside the editor. (https://github.com/atom/teletype/pull/332)",Make it shorter to avoid wrapping in several popular UI themes.,0
107,Bulk Changes in regards to teletype-client PR #57,0.5841234,Provide quick access to Atom's package updates UI when prompting user to update Teletype due to a protocol change (#271),"In https://github.com/atom/teletype/pull/350#issuecomment-375175310, @simurai mentioned it would be better to disable the checkbox by default so that there's only one element that immediately catches your eye instead of two (i.e., just the ""Join portal"" button instead of the checkbox and the button). By inverting the logic of the checkbox, we can disable it by default and still provide the same experience in the dialog: By default, Teletype will ask for confirmation before joining a portal when you follow a portal URL, and you can optionally configure Teletype to skip this confirmation for future portal URLs.",0
108,"Revert ""Add styles for interacting with portals you've joined""",0.60270464,"All avatars now appear in the bottom right corner. Additionally, you'll now see a collaborator's avatar even when they switch their focus to something outside the portal. For example, if a guest starts editing a file that's not associated with the portal, you'll continue to see the guest's avatar, but it will have a reduced opacity to indicate reduced portal activity from that guest.",,0
109,Relay active editor changes only if they're manually initiated by users,0.4803422,Allow guests to use fuzzy-finder to open any remote editor shared by the host. Please note that this currently requires using an Atom dev build. Full support for this functionality will ship in a future beta version of Atom. (https://github.com/atom/teletype/pull/323),Increase clarity that this setting will ask before joining a portal.,0
110,:memo: Link to out-of-scope section,0.3599748,"With Teletype 0.10.0, you'll now enjoy a streamlined view of your collaborators' avatars inside the editor. (https://github.com/atom/teletype/pull/332)",,0
111,"Add ""Verification Process"" section to pull request template",0.34589934,Allow guests to use fuzzy-finder to open any remote editor shared by the host. Please note that this currently requires using an Atom dev build. Full support for this functionality will ship in a future beta version of Atom. (https://github.com/atom/teletype/pull/323),"Clarify that collaborators can't see ""anything you type."" For example, if you open Gmail and start typing, your Teletype collaborators can't see that. Instead, they can see ""any edits you perform inside the portal.""",0
112,Fix linter issues,0.45987624,"Improve experience and help users report diagnostics for debugging package initialization errors (#317, #309)",,0
113,Add Atom's standard CODE_OF_CONDUCT.md,0.5795468,Update Teletype for compatibility with the upcoming release of Atom 1.25 (#301),Co-authored-by: Antonio Scandurra as-cii@github.com,0
114,Merge branch 'master' into joining-nonexistent-portal,0.47649282,Prevent unnecessary console error when sharing a portal (#311),Co-authored-by: Antonio Scandurra as-cii@github.com,0
115,Merge master into jr-close-portal,0.50891227,Prevent unnecessary console error when sharing a portal (#311),"Improve panel destroy flow, so that pressing enter doesn't trigger the ""cancel"" flow. Co-authored-by: Antonio Scandurra as-cii@github.com",0
116,Trim down intro in README,0.4026425,Properly dispose of portals when deactivating the package (#279),Co-authored-by: Antonio Scandurra as-cii@github.com,0
117,Use production pusher key and base URL by default,0.37515974,Allow guests to use fuzzy-finder to open any remote editor shared by the host. Please note that this currently requires using an Atom dev build. Full support for this functionality will ship in a future beta version of Atom. (https://github.com/atom/teletype/pull/323),Co-authored-by: Antonio Scandurra as-cii@github.com,0
118,"Now that @nathansobo is back, let him get chat pings too 😇",0.3348639,Invite coworkers or friends to collaborate by sending them your portal URL. Collaborators can follow that link to join your portal and start coding together with you in real time. 👩‍💻:atom:🔗:atom:👨‍💻,,0
119,Merge pull request #301 from atom/atom-1.25-compat,0.5942701,Update Teletype for compatibility with the upcoming release of Atom 1.25 (#301),,0
120,"👕 Fix ""'GuestPortalBinding' is assigned a value but never used""",0.42669213,Prevent unnecessary console error when sharing a portal (#311),,0
121,Remove obsolete TODO item,0.5132034,Properly dispose of portals when deactivating the package (#279),,0
122,Start initial draft of remote buffers RFC,0.4718972,Allow guests to use fuzzy-finder to open any remote editor shared by the host. Please note that this currently requires using an Atom dev build. Full support for this functionality will ship in a future beta version of Atom. (https://github.com/atom/teletype/pull/323),,0
123,disable slack notification,0.40921843,Provide quick access to Atom's package updates UI when prompting user to update Teletype due to a protocol change (#271),Fix stacking of link icon,0
124,Restore the default history provider after closing a portal,0.5410361,"Clean up guest's workspace when host closes portal (i.e., automatically close the tabs that were associated with the portal) (https://github.com/atom/teletype/pull/319)",,0
125,Update and add more mockups,0.47063956,"With Teletype 0.10.0, you'll now enjoy a streamlined view of your collaborators' avatars inside the editor. (https://github.com/atom/teletype/pull/332)",,0
126,Use login instead of username for peer identities,0.35786653,Update guest workspaces when host renames a shared file (https://github.com/atom/teletype/issues/147),,0
127,Merge pull request #119 from atom/identify-host-in-empty-portal-pane-item,0.5365592,Prevent unnecessary console error when sharing a portal (#311),,0
128,Removed unused CSS,0.2957061,Fix bug that would occasionally cause participants to see incorrectly-positioned cursors for other participants (https://github.com/atom/teletype/pull/326),,0
129,RFC-002: Reworked buffer-file.dispose(),0.4907847,"With Teletype 0.4.0, collaborators can now save buffers on the host. (#270) 💾📡🌟",,0
130,Use Atom's standard CI build script,0.47170007,Update Teletype for compatibility with the upcoming release of Atom 1.25 (#301),,0
131,Don't blink other participants' cursors,0.5984404,Fix bug that would occasionally cause participants to see incorrectly-positioned cursors for other participants (https://github.com/atom/teletype/pull/326),No Tests.,0
132,Merge pull request #326 from atom/workaround-marker-already-destroyed-on-creation,0.51592994,Update Teletype for compatibility with the upcoming release of Atom 1.25 (#301),,0
133,WIP: Wire up 'share' toggle for host portal,0.5732773,Update guest workspaces when host renames a shared file (https://github.com/atom/teletype/issues/147),,0
134,Prevent popover labels from being selected,0.31592864,Properly dispose of portals when deactivating the package (#279),,0
135,Rename leftover close method to leave in GuestPortalBinding,0.52300656,Update guest workspaces when host renames a shared file (https://github.com/atom/teletype/issues/147),Co-authored-by: Jason Rudolph jason@jasonrudolph.com,0
136,:memo: Flesh out out-of-scope section,0.3593154,"With Teletype 0.10.0, you'll now enjoy a streamlined view of your collaborators' avatars inside the editor. (https://github.com/atom/teletype/pull/332)",Join portal via URL (Part 2),0
137,Make buttons the same size,0.3761596,Improve positioning of collaborator avatars for workspaces with multiple panes (#283),,0
138,Merge pull request #182 from atom/fix-reporting-errors-on-sign-in,0.4292606,Prevent unnecessary console error when sharing a portal (#311),,0
139,Simplify teletype URIs by removing buffer proxy ID,0.5725335,"With Teletype 0.4.0, collaborators can now save buffers on the host. (#270) 💾📡🌟",,0
140,"Add ""Leave Portal"" command",0.53902817,Properly dispose of portals when deactivating the package (#279),,0
141,:fire: Remove obsolete code in EditorBinding,0.46461946,Properly dispose of portals when deactivating the package (#279),"This will add support for both URLs and plain IDs. Eventually we should probably deprecate using IDs, but until it becomes a maintenance burden it seems okay to not be strict. Note that we have only added a simple test to show that the system is capable of handling portal IDs in addition to URIs. Since this won't be the ""happy path"" anymore, it seems okay to focus tests more around URIs.",0
142,Report errors when attempting to sign in,0.4638733,Improve UX of the sign-in form (#248),,0
143,Update Unresolved Questions,0.32558823,Properly dispose of portals when deactivating the package (#279),,0
144,Prepare 0.3.0 release,0.4968294,Also in this release:,,0
145,Merge pull request #93 from atom/fix-92,0.42605847,Update Teletype for compatibility with the upcoming release of Atom 1.25 (#301),Join portal via URL (Part 1),0
146,Update package.json to reflect the need for Atom 1.19 or higher,0.61610764,Update Teletype for compatibility with the upcoming release of Atom 1.25 (#301),,0
147,conditionaly implemented assertions,0.19055903,"Improve experience and help users report diagnostics for debugging package initialization errors (#317, #309)",,0
148,"Don't show ""Join Portal"" command when user is hosting a portal",0.6507547,Prevent unnecessary console error when sharing a portal (#311),,0
149,Merge pull request #363 from atom/sm-fix-click-through,0.42447352,Update Teletype for compatibility with the upcoming release of Atom 1.25 (#301), Add support for specifying the TeletypeClient connection timeout when   constructing a TeletypePackage instance Set the connection timeout to a super low value to so that we don't   keep waiting in the test that attempts to join a closed portal,0
150,Stop using addEditorProxy and removeEditorProxy,0.5102043,Properly dispose of portals when deactivating the package (#279),,0
151,Dispose subscriptions when destroying etch components,0.5450419,Properly dispose of portals when deactivating the package (#279),,0
152,:art: Group UUID utility functions together,0.45540053,Improve UX of the sign-in form (#248),,0
153,:art: Adjust order of tests,0.2432238,Improve UX of the sign-in form (#248),,0
154,Merge remote-tracking branch 'origin/popover' into popover,0.3296252,Allow guests to use fuzzy-finder to open any remote editor shared by the host. Please note that this currently requires using an Atom dev build. Full support for this functionality will ship in a future beta version of Atom. (https://github.com/atom/teletype/pull/323),,0
155,Teach popover to show your portal URL instead of  the portal ID,0.48494855,"URLs are pretty great. And now your portals have URLs, too.",/xref https://github.com/atom/teletype/pull/344#discussion_r175724712,0
156,Encourage use of the #atom-real-time room for discussion,0.5549543,Invite coworkers or friends to collaborate by sending them your portal URL. Collaborators can follow that link to join your portal and start coding together with you in real time. 👩‍💻:atom:🔗:atom:👨‍💻,,0
157,Fixed linter errors.,0.48643574,"Improve experience and help users report diagnostics for debugging package initialization errors (#317, #309)",,0
158,:memo: Resolve question re: removing current collaborator from list,0.38430566,Update guest workspaces when host renames a shared file (https://github.com/atom/teletype/issues/147),,0
159,Text tweaks,0.44249845,"With Teletype 0.10.0, you'll now enjoy a streamlined view of your collaborators' avatars inside the editor. (https://github.com/atom/teletype/pull/332)",update to head,0
160,WIP Preserve 1:1 correspondence between editor bindings and proxies,0.531374,"With Teletype 0.4.0, collaborators can now save buffers on the host. (#270) 💾📡🌟",/xref https://github.com/atom/teletype/pull/344#discussion_r175319913,0
161,Merge pull request #27 from atom/jr-improve-guest-view-of-remote-paths,0.46901482,Allow guests to use fuzzy-finder to open any remote editor shared by the host. Please note that this currently requires using an Atom dev build. Full support for this functionality will ship in a future beta version of Atom. (https://github.com/atom/teletype/pull/323),,0
